# log10(M)   bias
1.049999999999999822e+01 1.009428571428571342e+00
1.065999999999999481e+01 1.068244897959182094e+00
1.081999999999999140e+01 1.118938775510201600e+00
1.097999999999998799e+01 1.153306122448972904e+00
1.113999999999998458e+01 1.202448979591828282e+00
1.129999999999998117e+01 1.275999999999989809e+00
1.145999999999997776e+01 1.351999999999988100e+00
1.161999999999997435e+01 1.418326530612231684e+00
1.177999999999997094e+01 1.476163265306107863e+00
1.193999999999996753e+01 1.537755102040800681e+00
1.209999999999996412e+01 1.644897959183655889e+00
1.225999999999996071e+01 1.775510204081613308e+00
1.243249999999997968e+01 1.897959183673448402e+00
1.262500000000000355e+01 2.056632653061226002e+00
1.282500000000000639e+01 2.257653061224492497e+00
1.302500000000000924e+01 2.449489795918371460e+00
1.322500000000001208e+01 2.609142857142862315e+00
1.342500000000001492e+01 2.592857142857148744e+00
1.368750000000000711e+01 2.835306122448986610e+00
1.417499999999999716e+01 0.000000000000000000e+00
