# log10(M)   bias
1.049999999999999822e+01 1.026571428571428690e+00
1.065999999999999481e+01 1.068244897959182094e+00
1.081999999999999140e+01 1.118938775510201600e+00
1.097999999999998799e+01 1.153306122448972904e+00
1.113999999999998458e+01 1.242530612244889365e+00
1.129999999999998117e+01 1.275999999999989809e+00
1.145999999999997776e+01 1.351999999999988100e+00
1.161999999999997435e+01 1.418326530612231684e+00
1.177999999999997094e+01 1.532938775510188867e+00
1.193999999999996753e+01 1.599265306122432673e+00
1.209999999999996412e+01 1.710693877551002107e+00
1.225999999999996071e+01 1.846530612244877911e+00
1.243249999999997968e+01 2.049795918367324443e+00
1.262500000000000355e+01 2.221163265306123957e+00
1.282500000000000639e+01 2.438265306122452181e+00
1.302500000000000924e+01 2.841408163265310982e+00
1.322500000000001208e+01 3.261428571428577783e+00
1.342500000000001492e+01 3.771428571428580234e+00
1.368750000000000711e+01 4.897346938775522851e+00
1.417499999999999716e+01 7.386122448979589805e+00
